B2.1.4  Total Provincial Operating Funding,B2.1.1  Public Library Operating Grant (PLOG),B5.0  Total Operating Expenditures,B4.02.1  Total funds (not including employee benefits),"B4.04  Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)","B4.01.2  Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)",P2.2  Resident Households Served,C0.2.T  Total Print Volumes Held,D1.1.1.C  Librarians,"G1.1.2.W  All circulation for E-books, downloadable audio books, music and video ","E7.1  In the space provided, please provide the total, combined square footage of all the facilities in your library system",Actual incidents
"1,013","1,013","18,440","12,119","1,279",0,174,"11,961",0,3,0,
"14,307","14,307","92,302","53,704","20,994",459,"3,619","12,189",0,103,"1,485",
"16,824","16,646","415,877","164,368","82,310","17,828","3,541","17,471",1,268,"6,100",955
"16,824","16,646","415,877","164,368","82,310","17,828","3,541","17,471",1,268,"6,100",186
"1,913","1,913","19,477","9,568","1,602",399,310,940,1,45,0,
"4,302","3,942","72,261","44,854","13,545","1,136",559,"14,475",0,26,"2,475",..
"8,531","8,099","156,049","109,902","7,811","1,523","2,157","11,242",0,66,"2,496",
"3,193","3,193","34,296",0,0,0,965,0,0,0,0,
"25,967","25,700","1,826,018","1,216,310","90,265","68,696","10,606","46,053",6,680,"15,000",
"6,017","6,017","17,573",0,0,0,"1,522",0,0,0,0,
"14,447","12,092","109,713","71,184","3,788","3,831","3,148","27,346",0,40,"3,691",
"116,739","102,352","2,951,522","1,515,037","470,225","166,980","19,499","198,728",5,"1,125","31,448","2,482"
"19,452","17,276","133,723","71,072","28,519","3,747","4,103","25,825",0,0,0,
"37,522","36,167","559,125","256,500","206,021","10,545","5,515","29,287",0,193,"10,059",..
"2,483","2,483","71,360","47,925","12,644",0,578,"10,529",0,59,0,..
"7,078","3,657","86,859","45,492","9,943","1,978",711,"20,552",0,98,"4,275",..
"30,865","11,410","341,485","199,827","19,979","8,325","2,440","35,761",1,99,"6,000",..
"25,297","25,297","843,404","484,345","50,228","23,608","6,954","36,573",1,219,"13,500",
"287,721","273,615","5,943,015","2,878,288","272,880","404,382","72,513","258,241",12,"7,696","72,036",
"1,117","1,117","7,805",0,0,0,211,0,0,0,0,..
"5,595","5,595","33,595",0,0,0,"1,465",0,0,0,0,414
"4,197","2,016","40,745","22,546",0,"3,289",387,"10,807",0,0,0,
"60,682","53,660","1,403,785","890,782","137,165","64,282","15,569","48,936",4,"1,085","22,000",
"19,137","18,122","602,157","311,174","98,880","12,733","3,835","40,689",1,280,"14,800",
"11,398","10,992","141,886","86,529",0,30,"2,662","7,470",0,81,"2,200",
"4,831","4,831","72,390","40,241","10,367","2,520","1,250","10,219",0,43,"1,453",
"13,700","10,485","233,997","112,356","27,241","3,288","2,546","10,429",1,141,"3,200",428
"13,700","10,485","233,997","112,356","27,241","3,288","2,546","10,429",1,141,"3,200",..
"15,741","2,741","15,741","15,741",0,0,0,"3,679",0,0,0,
"28,499","23,650","217,313","120,086","7,971",0,"5,736","12,259",1,108,"6,000",
"62,584","58,793","2,668,914","1,324,305","150,614","83,961","19,545","75,185",5,"1,102","31,500",
984,984,984,0,0,0,201,0,0,0,0,
"1,338","1,338","1,680",0,320,100,0,35,0,0,0,..
"8,312","5,497","46,529","24,847","11,299","1,382","1,244","14,812",0,58,"2,000",
"9,653","9,653","9,653",0,0,0,0,0,0,0,0,
"4,298","4,119","302,935","174,158","20,551","11,258","1,708","17,674",0,819,"4,300",
"35,777","33,542","803,098","404,883","50,310","23,341","8,563","46,098",3,566,"8,000",
"11,817","11,817","69,368","39,118","4,175","3,283","2,795","11,154",0,21,"1,457",
"403,238","319,510","8,812,609","3,902,701","798,955","388,032","75,776","254,356",10,0,0,"9,718"
"18,420","14,400","382,234","257,253","21,147","8,780","2,930","79,738",0,49,"9,940",
"21,517","21,462","504,679","352,598","29,911","8,966","5,502","38,502",3,341,"12,000",
"31,391","29,078","1,197,964","555,549","82,760","40,410","10,613","51,421",2,660,"16,000",
"167,774","156,852","9,984,741","4,997,776","1,164,135","301,212","57,297","266,481",18,"10,912","62,852","6,792"
"167,774","156,852","9,984,741","4,997,776","1,164,135","301,212","57,297","266,481",18,"10,912","62,852",..
"79,162","72,400","2,585,171","1,118,298","196,163","71,629","20,369","148,167",1,"1,676","45,950",
"120,353","109,996","1,168,857","615,522","31,046","49,977","21,113","45,367",3,638,"14,580",
428,428,428,0,0,0,0,0,0,0,0,
"67,050","61,333","4,530,594","2,789,822","402,386","267,231","22,049","103,156",10,"2,562","41,373",
"949,451","812,043","34,238,101","14,529,085","4,544,219","1,616,814","237,200","672,372",45,"37,342","379,574","28,403"
"949,451","812,043","34,238,101","14,529,085","4,544,219","1,616,814","237,200","672,372",45,"37,342","379,574",..
"19,180","19,180","330,236",0,0,0,"4,677",0,0,0,0,"1,443"
"14,313","13,489","632,946","330,282","118,641","7,669","3,642","27,761",1,172,"5,500",666
"1,243","1,243","5,616",0,0,0,209,0,0,0,0,
"17,281","15,552","227,063","115,685","57,158","2,943","1,820","11,509",0,210,"5,150",
"20,773","18,878","116,309","55,238","5,127","3,857","4,359","37,829",0,65,"3,200",
547,547,547,0,0,0,0,0,0,0,0,
"19,523","18,625","560,524","374,041","56,989","6,602","5,268","66,415",1,170,"8,440",743
"19,523","18,625","560,524","374,041","56,989","6,602","5,268","66,415",1,170,"8,440",..
"19,523","18,625","560,524","374,041","56,989","6,602","5,268","66,415",1,170,"8,440",120
"1,423","1,423","4,655",0,0,"1,805",350,"2,473",0,16,500,
"12,701","12,701","257,146","125,200","55,954","1,379","2,472","17,860",0,8,"4,800",..
"13,243",243,"18,150","13,000","3,000",0,0,"2,725",1,0,"1,216",
"2,894","2,108","34,302","18,177","8,714",873,525,"6,827",0,7,690,
"3,763","3,481","145,343","78,829",727,"7,769",514,"6,423",0,32,754,
"5,050","5,050","13,210",0,0,0,0,0,0,0,0,390
"5,050","5,050","13,210",0,0,0,0,0,0,0,0,..
"5,050","5,050","13,210",0,0,0,0,0,0,0,0,464
"40,938","37,463","885,289","690,889","9,070","45,535","10,958","44,308",3,639,"12,000",117
497,497,497,0,0,0,0,0,0,0,0,
"146,390","137,466","3,046,319","1,817,457","185,848","131,320","28,369","197,517",8,"2,017","46,613",..
"8,244","6,256","45,808","22,648","3,184",589,"1,253","6,471",0,5,"2,160",
"4,999","4,946","64,963","39,378","10,138","2,864",596,"13,103",0,17,"5,000",..
"45,921","44,692","4,427,007","2,926,850","278,312","113,554","16,579","62,927",8,"1,293","36,572",
"27,274","12,403","152,925","90,309","25,133",0,"2,362","23,161",0,41,"3,500",..
"13,842",842,"13,842","13,000",0,0,0,"5,065",0,0,0,
"1,396","1,396","26,592","20,095",0,"1,453",264,0,0,0,"2,600",
"1,503","1,503","1,503",0,0,0,298,0,0,0,0,
"2,405","2,405","2,405",0,0,0,531,0,0,0,0,
851,851,851,0,0,0,164,0,0,0,0,
"42,361","23,174","201,171","154,074",842,"1,589","4,076","29,087",0,100,"6,400",..
"178,733","166,205","1,853,601","1,066,073","50,000","96,000","39,934","92,641",1,"1,733","36,445",
"4,898","4,825","38,225","22,268",0,"2,992","1,302","8,179",0,8,0,
"35,583","33,944","693,063","397,493","71,642","13,128","7,544","49,733",0,470,"13,500",..
"35,583","33,944","693,063","397,493","71,642","13,128","7,544","49,733",0,470,"13,500","2,274"
"35,583","33,944","693,063","397,493","71,642","13,128","7,544","49,733",0,470,"13,500",227
911,911,"3,458",0,0,0,125,0,0,0,0,
"8,136","6,824","121,257","85,326","5,902","4,121","1,660","8,926",0,67,"2,425",350
"1,066","1,066","1,066",0,0,0,386,0,0,0,0,..
